-2967034.91  3126066.69  4685955.62 
2012 07 15 12 09 01.889783 287.45947222222 -20.512305555556  0 0
2012 07 15 12 09 02.244244 287.46754444444 -20.467083333333  0 0
2012 07 15 12 09 02.589936 287.47581944444 -20.420638888889  0 0
2012 07 15 12 09 02.805785 287.48059166667 -20.392166666667  0 0
2012 07 15 12 09 03.022276 287.48590277778 -20.362916666667  0 0
2012 07 15 12 09 03.210433 287.49015555556 -20.338527777778  0 0
2012 07 15 12 09 03.529566 287.49789166667 -20.295888888889  0 0
2012 07 15 12 09 03.848292 287.50534722222 -20.253166666667  0 0
2012 07 15 12 09 04.155389 287.51282222222 -20.212583333333  0 0
2012 07 15 12 09 04.494840 287.52063611111 -20.166916666667  0 0
2012 07 15 12 09 04.799464 287.52819722222 -20.125972222222  0 0
2012 07 15 12 09 05.117074 287.53543611111 -20.083611111111  0 0
2012 07 15 12 09 05.411148 287.54278333333 -20.044055555556  0 0
2012 07 15 12 09 05.727167 287.55055833333 -20.001833333333  0 0
2012 07 15 12 09 05.913234 287.55529722222 -19.976805555556  0 0
2012 07 15 12 09 06.093774 287.55943611111 -19.952527777778  0 0
2012 07 15 12 09 06.323273 287.56478888889 -19.921361111111  0 0
2012 07 15 12 09 06.563247 287.57087777778 -19.888944444444  0 0
2012 07 15 12 09 06.813241 287.57705555556 -19.855083333333  0 0
2012 07 15 12 09 07.178624 287.58610277778 -19.805583333333  0 0
2012 07 15 12 09 07.509551 287.59380277778 -19.760527777778  0 0
2012 07 15 12 09 07.821110 287.60166666667 -19.717361111111  0 0
2012 07 15 12 09 08.121143 287.60927777778 -19.676444444444  0 0
2012 07 15 12 09 08.464832 287.61769722222 -19.629638888889  0 0
2012 07 15 12 09 08.797103 287.62603888889 -19.584444444444  0 0
2012 07 15 12 09 09.123524 287.63426944444 -19.539666666667  0 0
2012 07 15 12 09 09.472403 287.64321388889 -19.4915  0 0
2012 07 15 12 09 09.668175 287.64773055556 -19.464416666667  0 0
2012 07 15 12 09 09.885214 287.65359166667 -19.434555555556  0 0
2012 07 15 12 09 10.107008 287.65932777778 -19.403972222222  0 0
2012 07 15 12 09 10.334328 287.66501388889 -19.372666666667  0 0
2012 07 15 12 09 10.678748 287.67347222222 -19.32475  0 0
2012 07 15 12 09 10.982302 287.68121111111 -19.282277777778  0 0
2012 07 15 12 09 11.311202 287.68986666667 -19.236333333333  0 0
2012 07 15 12 09 11.651647 287.69841388889 -19.189194444444  0 0
2012 07 15 12 09 11.975014 287.70676388889 -19.144083333333  0 0
2012 07 15 12 09 12.273075 287.71393055556 -19.101944444444  0 0
2012 07 15 12 09 12.576256 287.72170277778 -19.06  0 0
2012 07 15 12 09 12.783633 287.72764722222 -19.030694444444  0 0
2012 07 15 12 09 12.986449 287.73294444444 -19.002277777778  0 0
2012 07 15 12 09 13.186373 287.73775 -18.974027777778  0 0
2012 07 15 12 09 13.414567 287.74405833333 -18.942  0 0
2012 07 15 12 09 13.604597 287.74922222222 -18.914972222222  0 0
2012 07 15 12 09 13.817564 287.75491111111 -18.884888888889  0 0
2012 07 15 12 09 14.063429 287.76050277778 -18.849722222222  0 0
2012 07 15 12 09 14.313403 287.76796388889 -18.814972222222  0 0
2012 07 15 12 09 14.678862 287.77709166667 -18.762388888889  0 0
2012 07 15 12 09 14.974300 287.785325 -18.720527777778  0 0
2012 07 15 12 09 15.278922 287.79373055556 -18.677111111111  0 0
2012 07 15 12 09 15.598759 287.80133333333 -18.631027777778  0 0
2012 07 15 12 09 15.896233 287.80911111111 -18.589055555556  0 0
2012 07 15 12 09 16.079733 287.81433611111 -18.562611111111  0 0
2012 07 15 12 09 16.314698 287.82078888889 -18.529111111111  0 0
2012 07 15 12 09 16.564634 287.82775277778 -18.492861111111  0 0
2012 07 15 12 09 16.814633 287.83447777778 -18.456916666667  0 0
2012 07 15 12 09 17.064633 287.84131944444 -18.420888888889  0 0
2012 07 15 12 09 17.314632 287.84808888889 -18.384861111111  0 0
2012 07 15 12 09 17.564697 287.85491944444 -18.348694444444  0 0
2012 07 15 12 09 17.928408 287.86498611111 -18.296416666667  0 0
2012 07 15 12 09 18.230683 287.87325 -18.252055555556  0 0
2012 07 15 12 09 18.552757 287.88213888889 -18.205416666667  0 0
2012 07 15 12 09 18.851376 287.89030277778 -18.161694444444  0 0
2012 07 15 12 09 19.118835 287.89776666667 -18.122666666667  0 0
2012 07 15 12 09 19.300522 287.90282777778 -18.096194444444  0 0
2012 07 15 12 09 19.484201 287.90763611111 -18.069472222222  0 0
2012 07 15 12 09 19.699555 287.91368888889 -18.037805555556  0 0
2012 07 15 12 09 19.909834 287.91971388889 -18.006944444444  0 0
2012 07 15 12 09 20.094669 287.924725 -17.980138888889  0 0
2012 07 15 12 09 20.313365 287.93081944444 -17.947777777778  0 0
2012 07 15 12 09 20.563351 287.93798055556 -17.911  0 0
2012 07 15 12 09 20.813272 287.94506111111 -17.874083333333  0 0
2012 07 15 12 09 21.063323 287.95217777778 -17.836944444444  0 0
2012 07 15 12 09 21.428871 287.96244166667 -17.783138888889  0 0
2012 07 15 12 09 21.725501 287.97074444444 -17.739138888889  0 0
2012 07 15 12 09 22.023432 287.97938055556 -17.694638888889  0 0
2012 07 15 12 09 22.319890 287.987625 -17.650388888889  0 0
2012 07 15 12 09 22.616395 287.99606666667 -17.606027777778  0 0
2012 07 15 12 09 22.803760 288.00181388889 -17.578222222222  0 0
2012 07 15 12 09 22.986435 288.00660555556 -17.550694444444  0 0
2012 07 15 12 09 23.191469 288.01308333333 -17.52  0 0
2012 07 15 12 09 23.384359 288.01838611111 -17.49125  0 0
2012 07 15 12 09 23.565492 288.02414166667 -17.464027777778  0 0
2012 07 15 12 09 23.814087 288.03068888889 -17.426694444444  0 0
2012 07 15 12 09 24.064097 288.03850555556 -17.389111111111  0 0
2012 07 15 12 09 24.314106 288.04556944444 -17.351166666667  0 0
2012 07 15 12 09 24.564180 288.05274166667 -17.3135  0 0
2012 07 15 12 09 24.815024 288.06019166667 -17.275444444444  0 0
2012 07 15 12 09 25.064135 288.06743055556 -17.237583333333  0 0
2012 07 15 12 09 25.314143 288.07486944444 -17.199555555556  0 0
2012 07 15 12 09 25.678859 288.085675 -17.14375  0 0
2012 07 15 12 09 25.974018 288.09450555556 -17.099333333333  0 0
2012 07 15 12 09 26.271039 288.10324722222 -17.053805555556  0 0
2012 07 15 12 09 26.456413 288.10900833333 -17.025666666667  0 0
2012 07 15 12 09 26.639795 288.11455555556 -16.997611111111  0 0
2012 07 15 12 09 26.845536 288.12030555556 -16.965916666667  0 0
2012 07 15 12 09 27.063549 288.127 -16.932305555556  0 0
2012 07 15 12 09 27.313494 288.13445277778 -16.893694444444  0 0
2012 07 15 12 09 27.563505 288.14222222222 -16.855611111111  0 0
2012 07 15 12 09 27.813515 288.14971666667 -16.816972222222  0 0
2012 07 15 12 09 28.063397 288.15702222222 -16.778305555556  0 0
2012 07 15 12 09 28.313470 288.16483055556 -16.739722222222  0 0
2012 07 15 12 09 28.563482 288.17251111111 -16.70125  0 0
2012 07 15 12 09 28.813491 288.18008888889 -16.661861111111  0 0
2012 07 15 12 09 29.063502 288.18758611111 -16.623916666667  0 0
2012 07 15 12 09 29.428454 288.19910555556 -16.566361111111  0 0
2012 07 15 12 09 29.722971 288.20785833333 -16.520194444444  0 0
2012 07 15 12 09 30.020848 288.21723888889 -16.473694444444  0 0
2012 07 15 12 09 30.202292 288.22245555556 -16.444611111111  0 0
2012 07 15 12 09 30.408408 288.22900277778 -16.414111111111  0 0
2012 07 15 12 09 30.609320 288.23514444444 -16.381944444444  0 0
2012 07 15 12 09 30.824302 288.24190277778 -16.347888888889  0 0
2012 07 15 12 09 31.064087 288.249875 -16.309555555556  0 0
2012 07 15 12 09 31.314086 288.25731111111 -16.270305555556  0 0
2012 07 15 12 09 31.564086 288.26544722222 -16.231083333333  0 0
2012 07 15 12 09 31.814084 288.27306666667 -16.191472222222  0 0
2012 07 15 12 09 32.064020 288.28103611111 -16.15175  0 0
2012 07 15 12 09 32.314083 288.2887 -16.112194444444  0 0
2012 07 15 12 09 32.564019 288.29701666667 -16.072416666667  0 0
2012 07 15 12 09 32.929080 288.30851944444 -16.014083333333  0 0
2012 07 15 12 09 33.225980 288.31785277778 -15.966416666667  0 0
2012 07 15 12 09 33.521794 288.32761111111 -15.919111111111  0 0
2012 07 15 12 09 33.816078 288.33713888889 -15.872055555556  0 0
2012 07 15 12 09 34.117972 288.34671666667 -15.823638888889  0 0
2012 07 15 12 09 34.415446 288.35667222222 -15.775722222222  0 0
2012 07 15 12 09 34.710363 288.36611944444 -15.727888888889  0 0
2012 07 15 12 09 35.011267 288.37591388889 -15.679777777778  0 0
2012 07 15 12 09 35.332510 288.38633333333 -15.627722222222  0 0
2012 07 15 12 09 35.628531 288.39568888889 -15.579916666667  0 0
2012 07 15 12 09 35.925350 288.40547222222 -15.531388888889  0 0
2012 07 15 12 09 36.233441 288.41563888889 -15.480916666667  0 0
2012 07 15 12 09 36.554837 288.42607777778 -15.428583333333  0 0
2012 07 15 12 09 36.736157 288.43243333333 -15.398555555556  0 0
2012 07 15 12 09 36.939128 288.43918888889 -15.365277777778  0 0
2012 07 15 12 09 37.142485 288.44617777778 -15.332222222222  0 0
2012 07 15 12 09 37.341474 288.45226666667 -15.299388888889  0 0
2012 07 15 12 09 37.562757 288.45977222222 -15.263166666667  0 0
2012 07 15 12 09 37.812695 288.468 -15.222138888889  0 0
2012 07 15 12 09 38.062763 288.47688888889 -15.180833333333  0 0
2012 07 15 12 09 38.312766 288.48513611111 -15.138583333333  0 0
2012 07 15 12 09 38.562770 288.49349722222 -15.09775  0 0
2012 07 15 12 09 38.926984 288.50594166667 -15.037416666667  0 0
2012 07 15 12 09 39.224610 288.51569166667 -14.988416666667  0 0
2012 07 15 12 09 39.530383 288.52635 -14.93725  0 0
2012 07 15 12 09 39.853506 288.53727222222 -14.882916666667  0 0
2012 07 15 12 09 40.150203 288.54756111111 -14.833472222222  0 0
2012 07 15 12 09 40.441255 288.55775277778 -14.784083333333  0 0
2012 07 15 12 09 40.749267 288.56796666667 -14.732916666667  0 0
2012 07 15 12 09 41.075341 288.57950277778 -14.677722222222  0 0
2012 07 15 12 09 41.403691 288.59102222222 -14.622083333333  0 0
2012 07 15 12 09 41.724364 288.601875 -14.568361111111  0 0
2012 07 15 12 09 41.912328 288.60840833333 -14.53625  0 0
2012 07 15 12 09 42.092519 288.61465 -14.505527777778  0 0
2012 07 15 12 09 42.311516 288.62263888889 -14.469027777778  0 0
2012 07 15 12 09 42.561483 288.63134722222 -14.426166666667  0 0
2012 07 15 12 09 42.811513 288.64016388889 -14.383694444444  0 0
2012 07 15 12 09 43.061480 288.64876388889 -14.341  0 0
2012 07 15 12 09 43.311510 288.65779444444 -14.29875  0 0
2012 07 15 12 09 43.561541 288.66656944444 -14.255472222222  0 0
2012 07 15 12 09 43.938898 288.679825 -14.190888888889  0 0
2012 07 15 12 09 44.258909 288.69138888889 -14.135527777778  0 0
2012 07 15 12 09 44.560097 288.70206944444 -14.083444444444  0 0
2012 07 15 12 09 44.896538 288.71438888889 -14.024833333333  0 0
2012 07 15 12 09 45.196361 288.72527222222 -13.9735  0 0
2012 07 15 12 09 45.504744 288.73634444444 -13.920472222222  0 0
2012 07 15 12 09 45.798988 288.746625 -13.869666666667  0 0
2012 07 15 12 09 46.106966 288.75831944444 -13.815194444444  0 0
2012 07 15 12 09 46.435032 288.76966111111 -13.757861111111  0 0
2012 07 15 12 09 46.720891 288.78022222222 -13.709083333333  0 0
2012 07 15 12 09 47.017816 288.79148888889 -13.655694444444  0 0
2012 07 15 12 09 47.198280 288.798675 -13.6245  0 0
2012 07 15 12 09 47.374248 288.80438611111 -13.593083333333  0 0
2012 07 15 12 09 47.579127 288.81227222222 -13.557  0 0
2012 07 15 12 09 47.810285 288.82066944444 -13.516166666667  0 0
2012 07 15 12 09 48.060269 288.83006944444 -13.471972222222  0 0
2012 07 15 12 09 48.310252 288.83967222222 -13.427444444444  0 0
2012 07 15 12 09 48.560237 288.84846388889 -13.382888888889  0 0
2012 07 15 12 09 48.810669 288.85791388889 -13.339416666667  0 0
2012 07 15 12 09 49.174227 288.871675 -13.274222222222  0 0
2012 07 15 12 09 49.473968 288.88315833333 -13.220833333333  0 0
2012 07 15 12 09 49.766935 288.89443055556 -13.168611111111  0 0
2012 07 15 12 09 50.068340 288.90582222222 -13.114555555556  0 0
2012 07 15 12 09 50.366348 288.91686944444 -13.06025  0 0
2012 07 15 12 09 50.662702 288.92825 -13.007361111111  0 0
2012 07 15 12 09 50.965390 288.93993611111 -12.952888888889  0 0
2012 07 15 12 09 51.294299 288.95257222222 -12.893638888889  0 0
2012 07 15 12 09 51.615806 288.96478888889 -12.835055555556  0 0
2012 07 15 12 09 51.930101 288.97704166667 -12.777944444444  0 0
2012 07 15 12 09 52.222614 288.98836666667 -12.724916666667  0 0
2012 07 15 12 09 52.538061 289.00037222222 -12.667194444444  0 0
2012 07 15 12 09 52.724336 289.0078 -12.633277777778  0 0
2012 07 15 12 09 52.907010 289.01480555556 -12.600194444444  0 0
2012 07 15 12 09 53.100609 289.02228333333 -12.564194444444  0 0
2012 07 15 12 09 53.308921 289.03051388889 -12.526611111111  0 0
2012 07 15 12 09 53.559061 289.04056944444 -12.480027777778  0 0
2012 07 15 12 09 53.809071 289.05065555556 -12.43475  0 0
2012 07 15 12 09 54.173711 289.06481111111 -12.367083333333  0 0
2012 07 15 12 09 54.469986 289.076375 -12.31275  0 0
2012 07 15 12 09 54.784380 289.08872777778 -12.254416666667  0 0
2012 07 15 12 09 55.089677 289.10154166667 -12.197472222222  0 0
2012 07 15 12 09 55.387930 289.11281944444 -12.142666666667  0 0
2012 07 15 12 09 55.686935 289.12541111111 -12.086416666667  0 0
2012 07 15 12 09 55.999333 289.138025 -12.027388888889  0 0
2012 07 15 12 09 56.334302 289.15145277778 -11.965138888889  0 0
2012 07 15 12 09 56.629220 289.16329444444 -11.908972222222  0 0
2012 07 15 12 09 56.939874 289.175925 -11.851  0 0
2012 07 15 12 09 57.123394 289.18318055556 -11.8165  0 0
2012 07 15 12 09 57.309354 289.19111944444 -11.781166666667  0 0
2012 07 15 12 09 57.683390 289.20625277778 -11.711055555556  0 0
2012 07 15 12 09 57.852413 289.21313888889 -11.678888888889  0 0
2012 07 15 12 09 58.057994 289.22176666667 -11.639722222222  0 0
2012 07 15 12 09 58.307907 289.23225555556 -11.592472222222  0 0
2012 07 15 12 09 58.557887 289.242475 -11.544694444444  0 0
2012 07 15 12 09 58.807993 289.25306111111 -11.496777777778  0 0
2012 07 15 12 09 59.172079 289.26785277778 -11.427194444444  0 0
2012 07 15 12 09 59.471725 289.28040555556 -11.369888888889  0 0
2012 07 15 12 09 59.769550 289.29297777778 -11.312694444444  0 0
2012 07 15 12 10 00.062473 289.30511111111 -11.255888888889  0 0
2012 07 15 12 10 00.359270 289.31810555556 -11.199166666667  0 0
2012 07 15 12 10 00.666528 289.33070833333 -11.139444444444  0 0
2012 07 15 12 10 00.965749 289.34351666667 -11.081805555556  0 0
2012 07 15 12 10 01.272912 289.35648611111 -11.021861111111  0 0
2012 07 15 12 10 01.565942 289.36919722222 -10.965027777778  0 0
2012 07 15 12 10 01.860782 289.38168611111 -10.907111111111  0 0
2012 07 15 12 10 02.178016 289.39540277778 -10.845583333333  0 0
2012 07 15 12 10 02.474463 289.40833055556 -10.787166666667  0 0
2012 07 15 12 10 02.774358 289.42111666667 -10.728305555556  0 0
2012 07 15 12 10 03.071277 289.43361944444 -10.669944444444  0 0
2012 07 15 12 10 03.246894 289.44190833333 -10.635416666667  0 0
2012 07 15 12 10 03.429706 289.44966666667 -10.599305555556  0 0
2012 07 15 12 10 03.600566 289.45686666667 -10.565833333333  0 0
2012 07 15 12 10 04.056978 289.477475 -10.475166666667  0 0
2012 07 15 12 10 04.306738 289.488025 -10.425722222222  0 0
2012 07 15 12 10 04.556886 289.49906666667 -10.37575  0 0
2012 07 15 12 10 04.806839 289.51019444444 -10.325944444444  0 0
2012 07 15 12 10 05.056858 289.52126666667 -10.276555555556  0 0
2012 07 15 12 10 05.306811 289.53255555556 -10.226277777778  0 0
2012 07 15 12 10 05.556959 289.54345277778 -10.17575  0 0
2012 07 15 12 10 05.920881 289.55975277778 -10.102722222222  0 0
2012 07 15 12 10 06.220395 289.57321944444 -10.04225  0 0
2012 07 15 12 10 06.519067 289.58684166667 -9.9820833333333  0 0
2012 07 15 12 10 06.811155 289.59968611111 -9.9237777777778  0 0
2012 07 15 12 10 07.111779 289.61341111111 -9.8625277777778  0 0
2012 07 15 12 10 07.292191 289.62135555556 -9.8251666666667  0 0
2012 07 15 12 10 07.475046 289.62983055556 -9.78825  0 0
2012 07 15 12 10 07.657129 289.63845 -9.7509722222222  0 0
2012 07 15 12 10 07.835935 289.64618611111 -9.7144166666667  0 0
2012 07 15 12 10 08.170774 289.66143611111 -9.6461666666667  0 0
2012 07 15 12 10 08.475600 289.67557777778 -9.5840833333333  0 0
2012 07 15 12 10 08.655360 289.68381111111 -9.5468888888889  0 0
2012 07 15 12 10 08.836211 289.69223888889 -9.5099722222222  0 0
2012 07 15 12 10 09.056768 289.70231666667 -9.4645555555556  0 0
2012 07 15 12 10 09.306753 289.71405 -9.4128333333333  0 0
2012 07 15 12 10 09.556738 289.72565833333 -9.3613333333333  0 0
2012 07 15 12 10 09.806722 289.73707777778 -9.3096111111111  0 0
2012 07 15 12 10 10.169991 289.754175 -9.2343333333333  0 0
2012 07 15 12 10 10.473288 289.76752222222 -9.171  0 0
2012 07 15 12 10 10.776165 289.78263333333 -9.1078333333333  0 0
2012 07 15 12 10 11.079638 289.79689722222 -9.0444166666667  0 0
2012 07 15 12 10 11.374866 289.81113055556 -8.9831111111111  0 0
2012 07 15 12 10 11.679582 289.82544166667 -8.9187777777778  0 0
2012 07 15 12 10 11.852011 289.83355277778 -8.8828888888889  0 0
2012 07 15 12 10 12.054573 289.84306111111 -8.8404444444444  0 0
2012 07 15 12 10 12.304616 289.85525833333 -8.7873611111111  0 0
2012 07 15 12 10 12.554789 289.86715 -8.7346944444444  0 0
2012 07 15 12 10 12.804639 289.87939722222 -8.6814166666667  0 0
